零件名称,供应商名称,问题描述,故障类别,故障现象,临时措施1,临时措施2,临时措施3,原因分析1,原因分析2
一体式后车架组件,飞利信传媒有限公司,10月19日，总装车间反馈密封条开胶导致漏水风险,尺寸,异响,1. 立即隔离可疑批次，共隔离384件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,新格林耐特信息有限公司,02月13日，焊装车间反馈表面涂层脱落影响外观质量,外观,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,联通时科传媒有限公司,09月01日，焊装车间反馈表面涂层脱落影响外观质量,功能,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,创汇信息有限公司,02月13日，商品化区域反馈密封条开胶导致漏水风险,功能,连接强度不足,1. 立即隔离可疑批次，共隔离357件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,华泰通安信息有限公司,01月22日，商品化区域反馈电子元件短路导致功能失效,外观,外观缺陷,1. 启动整车排查，排查132台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,时空盒数字科技有限公司,12月20日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,间隙超差,1. 启动整车排查，排查82台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,快讯传媒有限公司,07月29日，焊装车间反馈尺寸超差导致装配间隙过大,功能,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,凌颖信息网络有限公司,06月20日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,惠派国际公司网络有限公司,06月28日，发运场反馈表面涂层脱落影响外观质量,外观,连接强度不足,1. 立即隔离可疑批次，共隔离251件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,信诚致远传媒有限公司,03月26日，发运场反馈密封条开胶导致漏水风险,外观,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,维涛信息有限公司,07月01日，发运场反馈尺寸超差导致装配间隙过大,功能,异响,1. 启动整车排查，排查58台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,恩悌科技有限公司,02月18日，商品化区域反馈电子元件短路导致功能失效,电气,功能失效,1. 启动整车排查，排查139台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,易动力网络有限公司,10月21日，总装车间反馈尺寸超差导致装配间隙过大,结构,功能失效,1. 立即隔离可疑批次，共隔离431件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,图龙信息网络有限公司,06月23日，商品化区域反馈焊接虚焊导致结构强度不足,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,商软冠联科技有限公司,12月29日，发运场反馈电子元件短路导致功能失效,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,商软冠联科技有限公司,07月31日，涂装车间反馈密封条开胶导致漏水风险,功能,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,恒聪百汇信息有限公司,10月15日，发运场反馈尺寸超差导致装配间隙过大,电气,异响,1. 启动整车排查，排查84台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,同兴万点科技有限公司,01月17日，商品化区域反馈密封条开胶导致漏水风险,尺寸,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,联通时科传媒有限公司,08月21日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,功能失效,1. 启动整车排查，排查128台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,维旺明科技有限公司,09月13日，焊装车间反馈表面涂层脱落影响外观质量,结构,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,太极科技有限公司,02月07日，焊装车间反馈电子元件短路导致功能失效,外观,外观缺陷,1. 立即隔离可疑批次，共隔离413件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,维涛科技有限公司,04月20日，发运场反馈密封条开胶导致漏水风险,外观,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,超艺网络有限公司,12月03日，焊装车间反馈尺寸超差导致装配间隙过大,结构,异响,1. 启动整车排查，排查74台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,快讯科技有限公司,06月16日，总装车间反馈电子元件短路导致功能失效,电气,外观缺陷,1. 启动整车排查，排查178台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,通际名联网络有限公司,01月19日，商品化区域反馈密封条开胶导致漏水风险,结构,异响,1. 立即隔离可疑批次，共隔离61件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,兰金电子传媒有限公司,10月01日，发运场反馈焊接虚焊导致结构强度不足,外观,间隙超差,1. 启动整车排查，排查68台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,MBP软件信息有限公司,03月02日，总装车间反馈密封条开胶导致漏水风险,外观,连接强度不足,1. 立即隔离可疑批次，共隔离396件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,新格林耐特传媒有限公司,12月12日，涂装车间反馈电子元件短路导致功能失效,功能,功能失效,1. 立即隔离可疑批次，共隔离427件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,新宇龙信息科技有限公司,02月13日，焊装车间反馈表面涂层脱落影响外观质量,功能,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,天开科技有限公司,10月02日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,电气,异响,1. 启动整车排查，排查123台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,商软冠联传媒有限公司,07月01日，焊装车间反馈焊接虚焊导致结构强度不足,功能,功能失效,1. 启动整车排查，排查72台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,济南亿次元网络有限公司,11月14日，涂装车间反馈焊接虚焊导致结构强度不足,外观,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,惠派国际公司传媒有限公司,04月19日，总装车间反馈尺寸超差导致装配间隙过大,外观,连接强度不足,1. 启动整车排查，排查185台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,精芯网络有限公司,10月05日，发运场反馈密封条开胶导致漏水风险,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,中建创业传媒有限公司,03月09日，商品化区域反馈密封条开胶导致漏水风险,电气,连接强度不足,1. 启动整车排查，排查132台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
